,context,question,answer,source_doc,groundedness_score,groundedness_eval,relevance_score,relevance_eval,standalone_score,standalone_eval
10,"Endometriosis 
Management strategies 
ISBN 978-1-4731-2661-9 
209 
All participants had a diagnosis or symptoms of endometriosis. One RCT examined a 
comparison of a GnRH agonist (buserelin intranasal (IN)) to expectant management in a 
population of women whose main symptom was infertility and who had undergone diagnostic 
laparoscopy combined with dilation and curettage (D&C) (Fedele 1993).  
Two RCTs examined comparisons of GnRH agonists to placebo (triptorelin IM 
(intramuscular) depot and leuprolide IM depot) (Bergqvist 1998 and Ling 1999, respectively). 
One RCT compared a combined oral contraceptive pill to placebo (Harada 2008).  
Evidence was only available for the critical outcome of pain (outcomes not included in the 
NMAs). There was no evidence available for any other critical or important outcomes. 
Hormonal treatment compared with another hormonal treatment 
Evidence was available from 2 studies comparing a hormonal treatment to another hormonal 
treatment. One was a Cochrane systematic review (Brown 2010) and one was a RCT 
(Schlaff 2006). Four RCTs within the Cochrane systematic review were relevant (Burry 1992, 
Cheng 2005, Fedele 1989, Petta 2005).  
Three RCTs examined a comparison of a GnRH agonist (nafarelin IN or buserelin IN) to 
danazol (Burry 1992, Cheng 2005, Fedele 1989). One RCT compared leuprolide IM to a 
levonorgestrel-releasing intrauterine system (LNG-IUS) to (Petta 2010) and 1 RCT compared 
leuprolide to depot medroxyprogesterone acetate (DMPA) subcutaneous (SC) injections 
(Schlaff 2006). All participants had laparoscopically confirmed endometriosis. One trial 
(Fedele 1989) included infertile women only. 
Evidence was available for the critical outcomes of pain (outcomes not included in the NMA) 
and quality of life, and for the important outcomes of patients requiring surgery because of 
reappearance of symptoms and the effect on daily activities. There was no evidence 
available for any other important outcomes.","What is the main symptom of the population in the RCT that compared a GnRH agonist to expectant management?
",The main symptom of the population in the RCT that compared a GnRH agonist to expectant management is infertility.,NICE-2017.pdf,1.0,"The context provides information about an RCT that compared a GnRH agonist to expectant management in a population of women with endometriosis. However, it does not specify the main symptom of the population in this RCT. Therefore, it is not possible to unambiguously answer the question with the given context.

",4.0,"This question is useful for gynecologists diagnosing endometriosis, planning a endometriosis treatment or treating a patient with endometriosis because it asks about the main symptom of the population in a randomized controlled trial (RCT) that compared a GnRH agonist to expectant management. This information can help gynecologists understand the effectiveness of the GnRH agonist in reducing symptoms in patients with endometriosis.
",1.0,"The question is asking about a specific RCT, and about a specific treatment option. The question is not independent from the context.

"
11,"(anastrazole, fadrozole, formestane, exemestane, letrozole) (Ferrero
et al., 2011), selective progesterone receptor modulator (mifepris-
tone, ulipristal) (Guo et al., 2011) and orally active GnRH antagonists
(elagolix) (Struthers et al., 2009) have shown some promise and ef-
fectiveness in RCTs, but more clinical experience is required with
these agents and more clinical trial research data are essential, espe-
cially with regard to their long-term efﬁcacy and side effects. For the
immunomodulator, pentoxifylline (Lu et al., 2012), and the anti-TNF-a
agent, inﬂiximab (Koninckx et al., 2008), RCTs have not shown beneﬁt
to date. The selective estrogen receptor modulator (SERM), raloxi-
fene, has been shown not to provide beneﬁt (Stratton et al., 2008).
Possible future treatments yet to be exposed to RCT scrutiny, but
where observational studies and case series have suggested promise,
include the selective progesterone receptor modulators (SPRMs) aso-
prisnil and megestrol (Spitz, 2009), the thiazolidinedione, rosiglitazone
(Moravek et al., 2009) and valproic acid (Liu and Guo, 2008). As
angiogenesis is a crucial activity for the normal processes of the repro-
ductive tract and other organ systems, it is dubious whether agents
used for their anti-angiogenic properties (including cabergoline, endo-
statin, sirolimus, thalidomide and vascular endothelial growth factor
inhibitors) will be useful clinically and these have been used only in
animal research to date (Laschke and Menger, 2012).
Complementary therapies for endometriosis symptoms
Complementary therapies may help women to cope better with their
endometriosis and its treatment and are supported by some evidence
from RCTs.
Endometriosis speciﬁc. Acupuncture appears to be moderately effective
and safe but requires repeated treatments (Zhu et al., 2011). High-
frequency transcutaneous electrical nerve stimulation (TENS) has
some effectiveness for short-term pain management (Proctor et al.,","Which drug has been shown to be moderately effective and safe for endometriosis?
",Acupuncture,WES-2013.pdf,1.0,"The context does not provide enough information to answer the question unambiguously. The context lists several drugs and treatments that have been studied for endometriosis, but it does not provide enough information about their effectiveness and safety specifically for endometriosis.

",5.0,"This question is useful for gynecologists diagnosing endometriosis, planning a endometriosis treatment or treating a patient with endometriosis. It is asking about a specific drug that has been shown to be moderately effective and safe for endometriosis. This information can help gynecologists make informed decisions about treatment options for their patients.
",5.0,"This question is context-independent, as it refers to a specific medical condition and a specific property of a drug.
"
12,"after the index date in main 
analysis 
 Mixed data collection methods 
(22% by self-reported 
questionnaire) 
 Only age was controlled for out of 
the major confounders listed by 
the Committee 
 Post-hoc analysis by site of 
endometriosis 
 Very wide CIs 
Brinton 2005, 
RC, Denmark, 
Danish Cancer 
Registry, 
Hospital 
Discharge 
Register and 
random 
subpopulation 
N=2,491 
endometriosis 
N=99,421 
population 
comparison 
Unclear n values 
published 
12 
848 
NR 
Split into <1, 
1–4, >5 years 
RR 1.22 
(0.69 to 2.17) 
Very high 
 Adjusted for calendar time (per 5 
years), parity, number of births, 
age at first birth  
 N values differ to those reported 
by Kim 2014 systematic review. 
Unclear. Figures could have come 
directly from contacting the 
authors","What was the relative risk of ovarian cancer in women with endometriosis in the Brinton 2005 study?
",The relative risk of ovarian cancer in women with endometriosis in the Brinton 2005 study was 1.22 (0.69 to 2.17).,NICE-2017.pdf,,,,,,
13,"sults in un 
con-
trolled ex 
per 
i 
ments also could be regarded as this 
type of ev 
i 
dence.
III 
Opinions of respected authorities, based on clin 
i 
cal 
ex 
pe 
ri 
ence, descriptive stud 
ies, or re 
ports of ex 
pert 
committees.
Based on the highest level of evidence found in the data, 
recommendations are provided and grad 
ed ac 
cord 
ing to the 
following categories:
Level A—Recommendations are based on good and con-
sis 
tent sci 
en 
tif 
ic evidence.
Level B—Recommendations are based on limited or in 
con-
sis 
tent scientific evidence.
Level C—Recommendations are based primarily on con-
sen 
sus and expert opinion.
Copyright July 2010 by the American College of Ob 
ste 
t-
ri 
cians and Gynecologists. All rights reserved. No part of this 
publication may be reproduced, stored in a re 
triev 
al sys 
tem, 
posted on the Internet, or transmitted, in any form or by any 
means, elec 
tron 
ic, me 
chan 
i 
cal, photocopying, recording, or
oth 
er 
wise, without prior written permission from the publisher.
Requests for authorization to make photocopies should be 
directed to Copyright Clearance Center, 222 Rosewood Drive, 
Danvers, MA 01923, (978) 750-8400.
The American College of Obstetricians and Gynecologists
409 12th Street, SW, PO Box 96920, Washington, DC 20090-6920
Management of endometriosis. Practice Bulletin No. 114. American 
College of Obstetricians and Gynecologists. Obstet Gynecol 2010; 
116:223–36.","What is the highest level of evidence found in the data?
","The highest level of evidence found in the data is Level A, which is based on good and consistent scientific evidence.",ACOG-2010.pdf,1.0,"The context provides a classification of evidence, but it does not provide any specific evidence related to the management of endometriosis. Therefore, it is not possible to determine the highest level of evidence found in the data.

",5.0,"This question is useful for understanding the quality of the data used in the study. The highest level of evidence found in the data can help gynecologists to determine the reliability and validity of the findings. This information is crucial when making diagnostic and treatment decisions for patients with endometriosis.
",5.0,"This question is asking about the highest level of evidence found in the data, which is a term that is commonly used in the field of evidence-based medicine. The question is asking about the level of evidence found in the data, which is a concept that is independent from the context.
"
14,"on the basis of clinical 
examination and TVUS 
findings. 
N=142 (consecutive) 
DIE site: rectosigmoid 
involvement 
Sensitivity and 
specificity  
Leon 2014 
(Nisenblat 
2016 CSR) 
Chile 
 SVG+TVUS-BP 
 Laparoscopy and 
histology 
Women with clinical 
suspicion of DIE based on 
clinical symptoms (chronic 
pelvic pain, deep 
dyspareunia, dyschezia, 
catamenial rectal bleeding, 
catamenial hematuria) or 
physical pelvic examination 
findings (non-mobile uterus, 
posterior vaginal fornix 
nodules, a painful pelvic 
examination). 
N=110 
DIE sites: pouch of 
Douglas, bladder* 
Sensitivity and 
specificity","What is the sensitivity and specificity of SVG+TVUS-BP and laparoscopy and histology in detecting DIE sites in the pouch of Douglas and bladder?
",The sensitivity and specificity of SVG+TVUS-BP in detecting DIE sites in the pouch of Douglas and bladder is not provided in the context. The sensitivity and specificity of laparoscopy and histology in detecting DIE sites in the pouch of Douglas and bladder is not provided in the context either.,NICE-2017.pdf,,,,,,
15,"• Clinicians need to be aware of the clinical factors
that increase the likelihood of endometriosis.
• The primary focus of investigation and
treatment of endometriosis should be resolution
of the presenting symptoms.","What should be the primary focus of investigation and treatment of endometriosis?
",The primary focus of investigation and treatment of endometriosis should be resolution of the presenting symptoms.,SOGC-2010.pdf,5.0,"The context clearly states that the primary focus of investigation and treatment of endometriosis should be resolution of the presenting symptoms. The context also mentions that clinicians need to be aware of the clinical factors that increase the likelihood of endometriosis. Therefore, the context provides enough information to answer the question unambiguously.

",5.0,"This question is useful for gynecologists diagnosing endometriosis, planning a endometriosis treatment or treating a patient with endometriosis. It highlights the importance of a primary focus of investigation and treatment, which is crucial in managing the disease effectively.
",5.0,"This question is about endometriosis, a medical condition. It is a 5 because it is clear what the question is about.
"
16,"consensus-based recommendations include the balance between potential harms and 
benefits, the economic costs or implications compared with the economic benefits, current 
practices, recommendations made in other relevant guidelines, patient preferences and 
equality issues. The group also considered whether the uncertainty was sufficient to justify","What does the group consider when making consensus-based recommendations?
","The group considers the balance between potential harms and benefits, the economic costs or implications compared with the economic benefits, current practices, recommendations made in other relevant guidelines, patient preferences and equality issues when making consensus-based recommendations.",NICE-2017.pdf,5.0,"The context provides a list of factors that the group considers when making consensus-based recommendations. The question asks what the group considers, so the context directly answers the question. The total rating is 5 because the context is clear and unambiguous.

",4.0,"This question is useful for understanding the process by which consensus-based recommendations are made, which can be important for gynecologists to know when evaluating the credibility and applicability of such recommendations to their practice.
",5.0,"This question is asking about a process, and does not require any additional context to be understood.

"
17,"Blinding of participants
and personnel (perfor-
mance bias) 
All outcomes
Low risk
Unit of randomisation was each ovary, so all women acted as their own con-
trols
Surgeon was not blinded, but treatment allocation took place intraoperative-
ly: ""at the end of cystectomy the random assignment of one ovary for wrap-
ping with Interceed [...] was revealed to the surgeon after a coin toss""
Keckstein 1996  (Continued)
Barrier agents for adhesion prevention afer gynaecological surgery (Review)
Copyright © 2020 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.
38","Was the surgeon blinded to the treatment allocation in the study?
","No, the surgeon was not blinded to the treatment allocation in the study. The treatment allocation took place intraoperatively, after a coin toss, and was revealed to the surgeon after the cystectomy.",cochrane-adhesion-2020.pdf,5.0,"The context states that the surgeon was not blinded to the treatment allocation, so the answer to the question is explicitly stated in the context.

",5.0,"This question is important because it addresses a potential source of bias in the study. If the surgeon was not blinded to the treatment allocation, they may have been influenced in their assessment of the patient's condition or symptoms, leading to inaccurate results.
",5.0,"The question is asking about a surgeon in a study, and whether the surgeon was blinded to the treatment allocation. The question is not asking about a specific study, but about the concept of a study. The question is clear and does not require additional information to be understood.
"
18,"Endometriosis 
Management strategies 
ISBN 978-1-4731-2661-9 
296 
Table 125: 
Summary clinical evidence profile for Comparison: Pharmacological 
therapy after surgery vs. placebo or no pharmacological therapy after 
surgery 
Outcomes 
Illustrative comparative risks 
(95% CI) 
Relative 
effect 
(95% CI) 
No of 
Participant
s 
(studies) 
Quality of 
the 
evidence 
(GRADE) 
Assume
d risk 
Corresponding risk 
 
Control 
Post-surgical 
pharmacological 
therapy  
 
 
 
Pain recurrence 
(VAS)cm - Pelvic 
pain 
Follow-up: 12 
months 
Control 
group 
mean 6.2 
(SD 0.9) 
The mean pain 
recurrence (VAS) - 
pelvic pain in the 
intervention groups 
was 
1.2 lower 
(1.47 to 0.93 lower) 
MD -1.2 (-
1.47 to -
0.93) 
187 
(1 study) 
⊕⊕⊕⊝ 
Moderate1 
Pain recurrence 
(VAS) cm- 
Dysmenorrhoea  
Follow-up: 12 
months 
Control 
group 
mean 6.4 
(SD 1.3) 
The mean pain 
recurrence (VAS) - 
dysmenorrhoea in 
the intervention 
groups was 
0.7 lower 
(1.04 to 0.36 lower) 
MD -0.7 (-
1.04 to -
0.36) 
187 
(1 study) 
⊕⊕⊝⊝ 
Low1,2 
Pain recurrence 
(VAS) cm - Deep 
dyspareunia 
Follow-up: 12 
months 
Control 
group 
mean 4.8 
(SD 1.2) 
The mean pain 
recurrence (VAS) - 
deep dyspareunia in 
the intervention 
groups was 
0.4 lower 
(0.76 to 0.04 lower) 
MD -0.4 (-
0.76 to -
0.04) 
187 
(1 study) 
⊕⊝⊝⊝ 
Very low1,3 
Pain recurrence 
(questionnaire 
based) - Abdominal 
pain at 12 months 
post treatment 
completion  
569 per 
1,000 
404 per 1,000 
(279 to 586) 
RR 0.71  
(0.49 to 
1.03) 
120 
(1 study) 
⊕⊕⊝⊝ 
Low2,4 
Pain recurrence 
(questionnaire 
based) - 
Dysmenorrhoea at 
12 months post 
treatment completion 
346 per 
1,000 
301 per 1,000 
(190 to 471) 
RR 0.87  
(0.55 to 
1.36) 
158 
(1 study) 
⊕⊝⊝⊝ 
Very low3,4 
Pain recurrence 
(questionnaire 
based) - 
Dyspareunia at 12 
months post 
treatment completion 
304 per 
1,000 
161 per 1,000 
(85 to 301) 
RR 0.53  
(0.28 to 
0.99) 
144 
(1 study) 
⊕⊕⊝⊝ 
Low2,4 
Pain recurrence 
(Andersch and 
Milsom) - Pelvic pain 
Follow-up: 12 
months","What is the mean pain recurrence (VAS) for pelvic pain in the intervention groups?
",The mean pain recurrence (VAS) for pelvic pain in the intervention groups is 1.2 lower (1.47 to 0.93 lower).,NICE-2017.pdf,1.0,"The context does not provide the necessary information to answer the question.

",5.0,"This question is useful for gynecologists who are planning an intervention for endometriosis patients with pelvic pain. The Visual Analog Scale (VAS) is a common tool used to measure pain intensity, and knowing the mean pain recurrence (VAS) for pelvic pain in the intervention groups can help gynecologists assess the effectiveness of different interventions and choose the most appropriate one for their patients.
",4.0,"The question refers to a specific type of pain (pelvic pain), a specific type of measurement (VAS) and a specific type of intervention groups. However, it does not refer to a specific context or document.
"
19,"investigate for signs of non-pelvic endometriosis. 
9.5.7.6 
Key conclusions 
The Committee concluded that laparoscopy should be considered in women with symptoms 
of endometriosis even when imaging has given a normal result. A negative finding following a 
thorough laparoscopic visualisation is highly specific and women can be reassured that they 
do not have endometriosis. Histological examination of biopsied tissue is considered to be a 
gold standard test and helpful to confirm the visual diagnosis; it is also required to exclude 
malignancy if ovarian endometriosis (endometrioma) is fenestrated and ablated. 
9.5.8 
Recommendations 
Also refer to section 11.3.5 on surgical management, and section 12.3.4 on surgical 
management if fertility is a priority.  
25. Consider laparoscopy to diagnose endometriosis in women with suspected 
endometriosis, even if the ultrasound was normal. 
26. For women with suspected deep endometriosis involving the bowel, bladder or 
ureter, consider a pelvic ultrasound or MRI before an operative laparoscopy.  
27. During a diagnostic laparoscopy, a gynaecologist with training and skills in 
laparoscopic surgery for endometriosis should perform a systematic inspection 
of the pelvis. 
28. During a diagnostic laparoscopy, consider taking a biopsy of suspected 
endometriosis:  
 to confirm the diagnosis of endometriosis (be aware that a negative 
histological result does not exclude endometriosis)","How can a woman be reassured that she does not have endometriosis?
",A negative finding following a thorough laparoscopic visualisation is highly specific and women can be reassured that they do not have endometriosis.,NICE-2017.pdf,1.0,"The context provides information about the diagnostic process for endometriosis, including the use of laparoscopy and biopsy. However, it does not provide any information about how a woman can be reassured that she does not have endometriosis. The context focuses on diagnostic methods, not reassurance methods. Therefore, I would rate this a 1 out of 5 for unambiguously answering the question with the given context.
",3.0,"This question is useful for patients who are worried about having endometriosis but have not been diagnosed with it yet. It can help them understand what they can do to alleviate their concerns. However, it is important to note that the only way to definitively diagnose endometriosis is through a laparoscopy, so reassuring a woman that she does not have endometriosis without this procedure is not possible.
",5.0,"The question is about a woman and a medical condition, but it does not require any additional context to be understood.
"
20,"Appendix I, full GRADE profiles in Appendix J and study evidence tables in Appendix G.  
9.3.3.3 
Summary of included studies  
A summary of the studies that were included in this review are presented in Table 42. 
Table 42: Summary of included studies 
Study 
Index test/reference 
standard 
Population 
Outcomes 
Comments 
Al-Jefout 
2007 
(Gupta 
2016 
CSR) 
Australia 
 Endometrial nerve fibres 
PGP 9.5 
 Laparoscopy and 
histology 
Reproductive-aged 
women undergoing 
laparoscopy for 
suspected 
endometriosis or 
infertility 
N=37 
Sensitivity 
and 
specificity 
Menstrual cycle 
phase not 
specified 
Al-Jefout 
2009 
(Gupta 
2016 
CSR) 
Australia 
 Endometrial nerve fibres 
PGP 9.5 
 Laparoscopy and 
histology 
Reproductive-aged 
women undergoing 
laparoscopy for 
infertility, pelvic pain or 
both 
N=103 
Sensitivity 
and 
specificity 
Menstrual cycle 
phase n=15; 
proliferative n=39; 
mid-cycle n=14; 
secretory n=31 
Bokor 
2009 
(Gupta 
2016 
CSR) 
Belgium 
 Endometrial neural 
marker PGP 9.5 
 Laparoscopy and 
histology  
Endometrial samples 
selected from tissue 
bank, which were 
collected from women 
undergoing 
laparoscopies for 
infertility, pain or both 
N=40 
Sensitivity 
and 
specificity 
All women in 
secretory phase 
of menstrual cycle","Which country did the Bokor 2009 study take place in?
",Belgium,NICE-2017.pdf,5.0,"The context provides information about two studies, one from 2007 and one from 2009. The 2009 study was conducted in Australia, as indicated in the context. Therefore, the question is answerable with the context.

",4.0,"This question is useful for understanding the geographical context of the Bokor 2009 study, which can be important for interpreting its results and comparing them with other studies.
",5.0,"The question refers to a specific study, Bokor 2009, but it does not require any additional information to be understood.
"
21,"Endometriosis 
Guideline summary 
ISBN 978-1-4731-2661-9 
12 
Name 
Role 
Amir Omidvari 
Research Fellow (from January 2016 to March 
2016) 
Hugo Pedder 
Statistician 
Ferruccio Pelone 
Assistant Systematic Reviewer (from August 
2016) 
Acknowledgements 
Additional support was received from Karen Head, Taryn Krause, Robin Pridy, Tim Reeves, 
Pauline Turner and Rachel Wheeler. 
 
 

 
 
Endometriosis 
Guideline summary 
ISBN 978-1-4731-2661-9 
13 
2.2 Algorithm 
Figure 1: Algorithm 
 
 

 
 
Endometriosis 
Guideline summary 
ISBN 978-1-4731-2661-9 
14 
 
 
 
 

 
 
Endometriosis 
Guideline summary 
ISBN 978-1-4731-2661-9 
15 
2.3 Other versions of the guideline 
The National Institute for Health and Care Excellence (NICE) produce a number of versions 
of this guideline:  
 the ‘short guideline’ lists the recommendations, context and recommendations; and  
 NICE Pathways brings together all connected NICE guidance. 
2.4 Schedule for updating the guideline 
For the most up-to-date information about guideline reviews, please see the latest version of 
the NICE guidelines manual available from the NICE website.","What is the ISBN number of the Endometriosis Guideline Summary?
",978-1-4731-2661-9,NICE-2017.pdf,5.0,"The context provides the ISBN number for the Endometriosis Guideline Summary, which is 978-1-4731-2661-9. The question asks for the ISBN number of the Endometriosis Guideline Summary, so the context directly answers the question. Therefore, I would give this a total rating of 5.

",1.0,"This question is not useful for gynecologists diagnosing endometriosis, planning a endometriosis treatment or treating a patient with endometriosis. The ISBN number is not a medical term and it is not relevant to the diagnosis or treatment of endometriosis.
",1.0,"The question refers to a specific document, the Endometriosis Guideline Summary, and asks for the ISBN number of this document. The question is not independent from the context.
"
22,"in pain associated with pertubation of lidocaine compared to placebo at 3, 6, 9 and 12 
months. However the uncertainty around this improvement was too large to draw clear 
conclusions about its clinical effectiveness. 
EHP-30 
Very low quality evidence from 1 RCT with 42 women with endometriosis reported no clear 
differences between women treated with lidocaine compared to placebo at 6 and 12 months 
for the subscales pain, control and powerlessness, emotional well-being, self-image and 
sexual intercourse. A small difference on the social support subscale was reported at 6 but 
not 12 months (Table 59).","What was the difference in social support between women treated with lidocaine and placebo at 6 months?
",A small difference on the social support subscale was reported at 6 months.,NICE-2017.pdf,,,,,,
23,"Endometriosis 
Diagnosis 
ISBN 978-1-4731-2661-9 
155 
Sensitivity 
(95%CI) 
Specificity  
(95% CI) 
Site of endometriosis 
(MRI test) 
No of 
participants 
(studies) 
Quality of 
the 
evidence 
(GRADE)13 
suppressed), 2D FSE T2-
w and 3.0T MRI) 
71% (42 to 92) 
100% (66% to 
100%) 
Pouch of Douglas9 
(3D MRI) 
23 (1) 
⊕⊝⊝⊝ 
Very low 
50% (16 to 84) 
100% (96 to 100) 
Ureteral10 
(T1-/T2-w + fat-
suppressed/Gd MRI) 
92 (1) 
⊕⊝⊝⊝ 
Very low 
23% (5 to 54) 
100% (95 to 100) 
Bladder11 
(T1-/T2-w + fat-
suppressed/Gd MRI) 
92 (1) 
⊕⊝⊝⊝ 
Very low 
93% (78 to 99) 
92% (73 to 99) 
Ovarian12  
(T1-/T2-w + fat-
suppressed/Gd and 3.0T 
MRI) 
179 (3) 
⊕⊝⊝⊝ 
Very low 
 CI: confidence interval 
Endometriosis sites as defined in Nisenblat Cochrane Systematic Review 2016:  
1 Endometriotic lesions, deep or superficial, located at any site in pelvic/abdominal cavity: on the peritoneum, 
fallopian tubes, ovaries, uterus, bowel, bladder or Pouch of Douglas 
2 Deep endometriotic lesions extending more than 5 mm under the peritoneum located at any site of 
pelvic/abdominal cavity 
3 Deep endometriotic lesions involve ≥ 1 site of the posterior pelvic compartment (uterosacral ligament, 
rectovaginal septum, vaginal wall, bowel) and/or obliterate Pouch of Douglas 
4 Deep endometriotic lesions located at any site of the anterior pelvic compartment (bladder ± anterior pouch) 
5 Deep endometriotic implants infiltrate the retroperitoneal area between posterior wall of vaginal mucosa and 
anterior wall of rectal muscularis 
6 Endometriotic lesions infiltrating at least the muscular layer of the rectosigmoid colon; the most common form of 
bowel endometriosis 
7 Endometriotic lesions infiltrate uterosacral ligaments unilaterally or bilaterally 
8 Endometriotic lesions infiltrate vaginal wall, particularly posterior vaginal fornix 
9 Defined when the peritoneum of the Pouch of Douglas is only partially or no longer visible during surgery and","What is the sensitivity of the MRI test for detecting endometriosis in the Pouch of Douglas?
",The sensitivity of the MRI test for detecting endometriosis in the Pouch of Douglas is 71% (42 to 92).,NICE-2017.pdf,,,,,,
24,"VOL. 116, NO. 1, JULY 2010 
Practice Bulletin    Management of Endometriosis    235
No.: CD005072. DOI: 10.1002/14651858.CD005072.pub2. 
(Meta-analysis)
 
116. Ozkan S, Murk W, Arici A. Endometriosis and infertility: 
epidemiology and evidence-based treatments. Ann N Y
Acad Sci 2008;1127:92–100. (Level III)
 
117. Sutton CJ, Pooley AS, Ewen SP, Haines P. Follow-
up report on a randomized controlled trial of laser 
laparoscopy in the treatment of pelvic pain associated 
with minimal to moderate endometriosis. Fertil Steril 
1997;68:1070–4. (Level I)
 
118. Hughes ML, Bartholomew D, Paluzzi M. Abdominal 
wall endometriosis after amniocentesis. A case report. J 
Reprod Med 1997;42:597–9. (Level III)
 
119. Shimizu I, Nakanishi R, Yoshino I, Yasumoto K. An 
endometrial nodule in the lung without pelvic endome-
triosis. J Cardiovasc Surg 1998;39:867–8. (Level II)
 
120. Espaulella J, Armengol J, Bella F, Lain JM, Calaf J. 
Pulmonary endometriosis: conservative treatment with 
GnRH agonists. Obstet Gynecol 1991;78:535–7. (Level 
III)
 
121. Johnson WM 3rd, Tyndal CM. Pulmonary endometriosis: 
treatment with danazol. Obstet Gynecol 1987;69:506–7. 
(Level III)
 
122. Shek Y, De Lia JE, Pattillo RA. Endometriosis with 
a pleural effusion and ascites. Report of a case treated 
with nafarelin acetate. J Reprod Med 1995;40:540–2. 
(Level III)
 
123. Namnoum AB, Hickman TN, Goodman SB, Gehlbach 
DL, Rock JA. Incidence of symptom recurrence after 
hysterectomy for endometriosis. Fertil Steril 1995;64: 
898–902. (Level III)
 
124. Redwine DB. Endometriosis persisting after castration: 
clinical characteristics and results of surgical manage-
ment. Obstet Gynecol 1994;83:405–13. (Level III)
 
125. Kinkel K, Chapron C, Balleyguier C, Fritel X, Dubuisson 
JB, Moreau JF. Magnetic resonance imaging charac-
teristics of deep endometriosis. Hum Reprod 1999;14: 
1080–6. (Level III)
 
126. Bohrer J, Chen CC, Falcone T. Persistent bilateral","What is the incidence of symptom recurrence after hysterectomy for endometriosis?
",The incidence of symptom recurrence after hysterectomy for endometriosis is 10.2%.,ACOG-2010.pdf,,,,,,
25,"Summary of findings 4.   Analysis 7 - Collagen membrane with polyethylene glycol and glycerol vs Ringer's lactate
Collagen membrane with polyethylene glycol and glycerol vs Ringer's lactate
Patient or population: patients with adhesion prevention after gynaecological surgery
Settings: surgical
Intervention: collagen membrane with polyethylene glycol and glycerol
Comparison: Ringer's lactate
Illustrative comparative risks* (95% CI)
Outcomes
Assumed risk
Corresponding risk
Relative effect
(95% CI)
Number of par-
ticipants
(studies)
Quality of the
evidence
(GRADE)
Comments
Library
Better health.
Cochrane Database of Systematic Reviews","What is the intervention being compared to Ringer's lactate in the analysis?
",The intervention being compared to Ringer's lactate in the analysis is a collagen membrane with polyethylene glycol and glycerol.,cochrane-adhesion-2020.pdf,,,,,,
26,"infertility, ability to undergo IVF-ET, family history, and
pelvic pain must be taken into consideration. Because it is
uncommon to ﬁnd advanced stage endometriosis in an
asymptomatic woman (with a normal ultrasound), there is
low utility in performing laparoscopy in asymptomatic
women. When laparoscopy is performed, ablation or excision
of visible endometriosis should be considered based on Level I
evidence. This should be discussed openly with the patient
when planning her treatment. Expectant management after
laparoscopy is an option for younger women. Alternatively,
superovulation with IUI may be offered, although the evi-
dence indicates that the number of cycles needed to achieve
an additional pregnancy is 14 (56).
Female age is an important factor in designing therapy.
After age 35 years, there is a signiﬁcant decrease in fecundity
and an increase in the spontaneous miscarriage rate. Fecun-
dity may be decreased due to the additive adverse effects of
VOL. 98 NO. 3 / SEPTEMBER 2012
595
Fertility and Sterility®","How many cycles of superovulation with IUI are needed to achieve an additional pregnancy?
",14,ASRM-2012.pdf,5.0,"The context provides information about the number of cycles needed to achieve a pregnancy with IUI or IVF-ET, but it does not specify how many cycles are needed for a pregnancy with expectant management. The context also provides information about the influence of female age on fecundity and spontaneous miscarriage rate, but it does not specify how many cycles are needed for a pregnancy with IUI or IVF-ET in women aged 35 years. However, the context does provide information about the influence of female age on fecundity and spontaneous miscarriage rate, but it does not specify how many cycles are needed for a pregnancy with expectant management.

",4.0,"This question is useful for gynecologists diagnosing endometriosis, planning a endometriosis treatment or treating a patient with endometriosis. It is important to know the number of cycles of superovulation with IUI are needed to achieve an additional pregnancy. This information can help gynecologists determine the appropriate treatment plan and prognose the chances of success.
",5.0,"This question is asking about a medical procedure, and it is asking about the number of cycles needed to achieve an additional pregnancy with IUI. It is context-independent, as it is asking about a medical procedure and the number of cycles needed.
"
